take,note_index,start_time,end_time,duration,note_name,measured_hz,target_hz,cents_error
LV35_01,0,2.458666666666667,2.6986666666666665,0.23999999999999977,A♯5,913.5827904033804,932.3275230361799,-35.161659436879866
LV35_01,1,2.7466666666666666,2.8426666666666667,0.09600000000000009,G4,386.7771208631503,391.99543598174927,-23.201279872707303
LV35_01,2,2.9226666666666667,3.3333333333333335,0.41066666666666674,G2,97.40347668431919,97.99885899543733,-10.550020453410752
LV35_01,3,3.3386666666666667,3.3386666666666667,0.0,G2,97.92428346437242,97.99885899543733,-1.3179423647567166
LV35_01,4,3.344,3.344,0.0,G♯2,102.55552655365831,103.82617439498628,-21.317942364756743
LV35_01,5,3.3493333333333335,3.3493333333333335,0.0,A2,107.40580022242108,110.0,-41.317942364756696
LV35_01,6,3.3546666666666667,3.3546666666666667,0.0,A♯2,114.45167459482067,116.54094037952248,-31.317942364756775
LV35_01,7,3.36,3.957333333333333,0.5973333333333333,E3,162.0722908571614,164.81377845643496,-29.039279449120553
LV35_01,8,4.064,5.136,1.072,F♯3,181.97899612389824,184.9972113558172,-28.47789416622292
LV35_01,9,5.141333333333334,5.1466666666666665,0.005333333333332746,F3,172.47714928685681,174.61411571650194,-21.317942364756743
LV35_01,10,5.189333333333333,5.498666666666667,0.3093333333333339,G3,199.16520543909854,195.99771799087463,27.754524742406225
LV35_01,11,5.610666666666667,6.0906666666666665,0.47999999999999954,G3,199.29363913425183,195.99771799087463,28.8705687044125
LV35_01,12,6.096,6.096,0.0,G3,194.72056218729455,195.99771799087463,-11.317942364756629
LV35_01,13,6.1546666666666665,6.1546666666666665,0.0,B2,126.26066357418266,123.47082531403103,38.68205763524329
LV35_01,14,6.16,7.152,0.992,B2,123.69512831893262,123.47082531403103,3.1421892885104947
LV35_01,15,7.157333333333334,7.210666666666667,0.05333333333333279,C3,127.99796787852142,130.8127826502993,-37.659141431327974
LV35_01,16,7.232,7.237333333333333,0.005333333333332746,A2,110.25672951162159,110.0,4.035827410917994
LV35_01,17,7.242666666666667,8.272,1.0293333333333337,G♯2,106.04629790666596,103.82617439498628,36.62887993776704
LV35_02,0,2.8746666666666667,3.2693333333333334,0.3946666666666667,F♯2,94.87857394064267,92.4986056779086,43.9808486162098
LV35_02,1,3.2746666666666666,3.2746666666666666,0.0,G2,100.79368399158986,97.99885899543733,48.68205763524341
LV35_02,2,3.28,3.28,0.0,G♯2,106.78718833360276,103.82617439498628,48.68205763524341
LV35_02,3,3.2853333333333334,3.2906666666666666,0.00533333333333319,A♯2,116.45225462737498,116.54094037952248,-1.3179423647569088
LV35_02,4,3.296,3.3013333333333335,0.005333333333333634,C3,127.7469195402389,130.8127826502993,-41.058025179780444
LV35_02,5,3.3066666666666666,3.8293333333333335,0.5226666666666668,E3,161.001842932547,164.81377845643496,-40.51158553978488
LV35_02,6,3.8346666666666667,3.84,0.00533333333333319,D♯3,159.07846781080758,155.56349186104046,38.68205763524329
LV35_02,7,3.8453333333333335,3.856,0.01066666666666638,D3,150.1500794673829,146.8323839587038,38.68205763524329
LV35_02,8,3.957333333333333,4.917333333333334,0.9600000000000004,F♯3,180.45855539088546,184.9972113558172,-43.0031782974329
LV35_02,9,4.970666666666666,5.269333333333333,0.29866666666666664,G3,199.26514287800552,195.99771799087463,28.62300828725374
LV35_02,10,5.376,5.888,0.5119999999999996,G3,199.8263871523957,195.99771799087463,33.49229648353987
LV35_02,11,5.8933333333333335,5.8933333333333335,0.0,E3,163.73982271948398,164.81377845643496,-11.317942364756629
LV35_02,12,5.898666666666666,5.904,0.005333333333333634,D♯3,153.66992496833,155.56349186104046,-21.20242040420669
LV35_02,13,5.9093333333333335,5.9093333333333335,0.0,C♯3,140.09497782494162,138.59131548843604,18.68205763524332
LV35_02,14,5.914666666666666,5.914666666666666,0.0,C3,131.47045033372646,130.8127826502993,8.682057635243446
LV35_02,15,5.92,5.92,0.0,A♯2,116.45225462737498,116.54094037952248,-1.3179423647569088
LV35_02,16,5.930666666666666,5.936,0.005333333333333634,F2,88.77148112015996,87.30705785825097,28.797579595793348
LV35_02,17,5.941333333333334,5.989333333333334,0.04800000000000004,F2,87.47053618637507,87.30705785825097,3.2386225707713137
LV35_02,18,6.0,6.0,0.0,G♯2,104.34816558124513,103.82617439498628,8.682057635243064
LV35_02,19,6.005333333333334,7.125333333333334,1.12,B2,124.53496403163544,123.47082531403103,14.85678613991402
LV35_02,20,7.1306666666666665,7.1306666666666665,0.0,A♯2,113.79248145578252,116.54094037952248,-41.317942364756696
LV35_02,21,7.136,8.112,0.976,G♯2,106.64983039086924,103.82617439498628,46.453777071543065
LV35_02,22,8.117333333333333,8.181333333333333,0.06400000000000006,G♯2,105.91566179926996,103.82617439498628,34.49489602753116
LV35_02,23,8.186666666666667,8.186666666666667,0.0,B2,125.53345566348013,123.47082531403103,28.682057635243233
LV35_02,24,8.192,8.192,0.0,C3,134.54342644059432,130.8127826502993,48.68205763524341
LV35_02,25,8.197333333333333,8.197333333333333,0.0,D3,149.28527864588918,146.8323839587038,28.682057635243233
LV35_02,26,8.202666666666667,8.202666666666667,0.0,E3,160.92687057085655,164.81377845643496,-41.317942364756696
LV35_02,27,8.496,9.365333333333334,0.8693333333333335,A♯5,927.1339161464496,932.3275230361799,-9.670942646988141
