take,note_index,start_time,end_time,duration,note_name,measured_hz,target_hz,cents_error
TRIMMED,0,0.8533333333333334,0.8881632653061224,0.03482993197278905,C2,66.46162538025693,65.40639132514966,27.70794871196501
TRIMMED,1,0.9520181405895691,0.9868480725623583,0.03482993197278916,C2,65.23668639053254,65.40639132514966,-4.497737369518399
TRIMMED,2,1.0216780045351475,1.073922902494331,0.052244897959183634,A#2,117.54896628461914,116.54094037952248,14.909994034557322
TRIMMED,3,1.0797278911564625,1.1203628117913833,0.0406349206349208,A2,112.01933753956989,110.0,31.4931334286314
TRIMMED,4,1.1261678004535147,1.1900226757369614,0.06385487528344669,A#2,114.60320562529395,116.54094037952248,-29.02734966955998
TRIMMED,5,1.195827664399093,1.2248526077097506,0.029024943310657525,A2,112.73892723829265,110.0,42.578665216274814
TRIMMED,6,1.2596825396825397,1.3003174603174603,0.04063492063492058,C3,132.55836321914418,130.8127826502993,22.949004210986065
TRIMMED,7,1.3061224489795917,1.3990022675736962,0.09287981859410444,C#3,137.15143235637854,138.59131548843604,-18.08060144496491
TRIMMED,8,1.4048072562358276,1.5151020408163265,0.1102947845804989,D3,144.6133975370484,146.8323839587038,-26.36277019377874
TRIMMED,9,1.5267120181405895,1.654421768707483,0.12770975056689338,D3,147.28989389748233,146.8323839587038,5.385905674310747
TRIMMED,10,1.6602267573696146,1.7008616780045351,0.04063492063492058,C#3,137.81314403845178,138.59131548843604,-9.748037147404794
TRIMMED,11,1.7066666666666668,1.7298866213151927,0.023219954648525887,D3,147.3262531657884,146.8323839587038,5.8132169689401
TRIMMED,12,1.7356916099773243,1.7589115646258504,0.02321995464852611,D#3,156.15197519972241,155.56349186104046,6.536753618419559
TRIMMED,13,1.7647165532879818,2.1710657596371883,0.40634920634920646,E3,166.29370277606336,164.81377845643496,15.47601657483403
TRIMMED,14,2.17687074829932,2.234920634920635,0.05804988662131505,D#3,156.39038065742753,155.56349186104046,9.177904286022882
TRIMMED,15,2.2407256235827666,2.2639455782312927,0.02321995464852611,E3,164.65442052616083,164.81377845643496,-1.6747346010673039
TRIMMED,16,2.269750566893424,2.5425850340136056,0.27283446712018167,F3,173.6792071744358,174.61411571650194,-9.2941740869593
TRIMMED,17,2.5483900226757368,2.5774149659863945,0.029024943310657747,F#3,180.01992023596176,184.9972113558172,-47.216359063856274
TRIMMED,18,2.583219954648526,2.728344671201814,0.14512471655328785,F3,176.08541728468924,174.61411571650194,14.526294310876901
TRIMMED,19,2.7341496598639456,2.780589569160998,0.04643990929705222,E3,163.1541366297482,164.81377845643496,-17.521549109894156
TRIMMED,20,2.809614512471655,2.948934240362812,0.13931972789115665,F#3,189.59815263604162,184.9972113558172,42.529660255600795
TRIMMED,21,2.9547392290249435,3.3146485260770975,0.359909297052154,G3,193.56016387352162,195.99771799087463,-21.665749594660504
TRIMMED,22,3.3610884353741497,3.900952380952381,0.5398639455782313,A3,219.98430807831625,220.0,-0.12348799094400999
TRIMMED,23,3.9067573696145126,3.9415873015873015,0.03482993197278894,A#2,115.84303526384065,116.54094037952248,-10.398657898063119
TRIMMED,24,3.953197278911565,3.982222222222222,0.029024943310657303,A#3,238.87929071427317,233.08188075904496,42.53391579100363
TRIMMED,25,3.9880272108843537,4.446621315192743,0.45859410430838965,B3,245.21880467347046,246.94165062806206,-12.120688401598297
TRIMMED,26,4.4524263038548755,4.475646258503401,0.023219954648525665,B2,123.19142043625476,123.47082531403103,-3.9220874138760378
TRIMMED,27,4.5859410430839,4.794920634920635,0.20897959183673454,C4,257.4441319827815,261.6255653005986,-27.89296453163627
