take,note_index,start_time,end_time,duration,note_name,measured_hz,target_hz,cents_error
TRIMMED_6,0,0.0,0.058049886621315196,0.058049886621315196,B5,1002.2727272727273,987.7666025122483,25.239643804345945
TRIMMED_6,1,0.06965986394557823,0.17414965986394557,0.10448979591836734,A#3,237.7304936879971,233.08188075904496,34.188135053665135
TRIMMED_6,2,0.19156462585034015,0.20317460317460317,0.011609977324263027,F2,85.79615641275731,87.30705785825097,-30.222321017497084
TRIMMED_6,3,0.2089795918367347,0.22639455782312926,0.017414965986394554,B2,125.17702299575586,123.47082531403103,23.759496842374496
TRIMMED_6,4,0.23800453514739228,0.24961451247165534,0.011609977324263054,G#2,101.72602425857178,103.82617439498628,-35.377660475992585
TRIMMED_6,5,0.25541950113378686,0.26702947845804986,0.011609977324262999,G2,97.61864705414266,97.99885899543733,-6.729834162747317
TRIMMED_6,6,0.2728344671201814,0.29024943310657597,0.01741496598639458,D#2,79.8913043478261,77.78174593052023,46.328238035299925
TRIMMED_6,7,0.3076643990929705,0.37151927437641724,0.06385487528344674,C4,264.1055118418651,261.6255653005986,16.333064274416305
TRIMMED_6,8,0.37732426303854877,0.4121541950113379,0.03482993197278911,C#4,271.4063968985718,277.1826309768721,-36.4585588824989
TRIMMED_6,9,0.4295691609977324,0.45859410430839004,0.029024943310657636,E2,83.84510387161632,82.4068892282175,29.95390585542633
TRIMMED_6,10,0.46439909297052157,0.47600907029478456,0.011609977324262999,F#2,95.04592135653255,92.4986056779086,47.03172016319886
TRIMMED_6,11,0.49342403628117915,0.5340589569160997,0.04063492063492058,D#2,79.98075026964194,77.78174593052023,48.265435151152175
TRIMMED_6,12,0.5630839002267574,0.5746938775510204,0.011609977324263054,C4,265.27893165972944,261.6255653005986,24.007893765462015
TRIMMED_6,13,0.5804988662131519,0.6443537414965986,0.06385487528344669,C#4,272.05319938350937,277.1826309768721,-32.33767474938998
TRIMMED_6,14,0.6501587301587302,0.7198185941043084,0.06965986394557822,C4,265.82634432718027,261.6255653005986,27.57667693229218
TRIMMED_6,15,0.7256235827664399,0.8010884353741496,0.07546485260770974,C#4,275.80270123929654,277.1826309768721,-8.640324314836844
TRIMMED_6,16,0.8068934240362812,0.8359183673469388,0.029024943310657636,C4,263.03602844720467,261.6255653005986,9.308276938782951
TRIMMED_6,17,0.8417233560090703,0.8881632653061224,0.04643990929705211,B3,244.0133214327551,246.94165062806206,-20.652335217940024
TRIMMED_6,18,0.905578231292517,0.9171882086167801,0.011609977324263054,C#4,279.23593077029085,277.1826309768721,12.777282770726064
TRIMMED_6,19,0.9229931972789116,1.3467573696145125,0.42376417233560093,D4,291.35370112565636,293.6647679174076,-13.678263317736253
TRIMMED_6,20,1.352562358276644,1.4454421768707484,0.09287981859410444,C#4,278.340834778834,277.1826309768721,7.218866120273487
TRIMMED_6,21,1.4628571428571429,1.7356916099773243,0.27283446712018145,E4,330.2713559261306,329.6275569128699,3.3779935212578796
TRIMMED_6,22,1.7414965986394557,1.7705215419501135,0.029024943310657747,D#4,320.21148531307574,311.1269837220809,49.82583776600089
TRIMMED_6,23,1.7763265306122449,1.933061224489796,0.15673469387755112,E4,328.9952953771166,329.6275569128699,-3.323884165413374
TRIMMED_6,24,1.9388662131519274,1.9853061224489796,0.04643990929705222,D#2,79.8913043478261,77.78174593052023,46.328238035299925
TRIMMED_6,25,1.991111111111111,2.014331065759637,0.02321995464852611,C4,257.4853997495405,261.6255653005986,-27.615473501535114
TRIMMED_6,26,2.020136054421769,2.374240362811791,0.3541043083900224,F4,344.755814346025,349.2282314330039,-22.314368707437396
TRIMMED_6,27,2.380045351473923,2.449705215419501,0.06965986394557833,E4,337.0365031571647,329.6275569128699,38.48159479761309
TRIMMED_6,28,2.455510204081633,2.48453514739229,0.029024943310657303,F4,340.1735155198416,349.2282314330039,-45.47924065830658
TRIMMED_6,29,2.513560090702948,2.589024943310658,0.07546485260770996,D#4,305.82839751515894,311.1269837220809,-29.737380282936922
TRIMMED_6,30,2.6354648526077096,2.6877097505668934,0.052244897959183856,D#2,79.8913043478261,77.78174593052023,46.328238035299925
TRIMMED_6,31,2.7109297052154195,2.838639455782313,0.12770975056689338,G4,387.98495581435077,391.99543598174927,-17.803373211687074
TRIMMED_6,32,2.8444444444444446,2.896689342403628,0.05224489795918341,F#4,377.9126697988636,369.9944227116344,36.659235679131775
TRIMMED_6,33,2.9024943310657596,2.9837641723356008,0.08126984126984116,G4,392.2675691647053,391.99543598174927,1.2014496362351261
TRIMMED_6,34,2.9895691609977324,3.0127891156462585,0.02321995464852611,G3,198.25174791075625,195.99771799087463,19.796074318971655
TRIMMED_6,35,3.0243990929705213,3.0998639455782313,0.07546485260770996,D4,286.57257638076305,293.6647679174076,-42.3235598373026
TRIMMED_6,36,3.105668934240363,3.2333786848072563,0.12770975056689338,C#4,277.6547628057359,277.1826309768721,2.9463439350740086
TRIMMED_6,37,3.244988662131519,3.2565986394557824,0.011609977324263276,D#2,80.02017385954787,77.78174593052023,49.118573505623914
TRIMMED_6,38,3.2624036281179136,3.308843537414966,0.04643990929705222,A#3,230.17308290534214,233.08188075904496,-21.74127193011752
TRIMMED_6,39,3.3146485260770975,3.3262585034013608,0.011609977324263276,A3,225.1282831663874,220.0,39.89255055585194
TRIMMED_6,40,3.332063492063492,3.651337868480726,0.3192743764172339,A4,441.11562208651816,440.0,4.383996664579312
TRIMMED_6,41,3.6861678004535148,3.7151927437641725,0.029024943310657747,D4,295.4382327726012,293.6647679174076,10.423616969239063
TRIMMED_6,42,3.732607709750567,3.7964625850340137,0.06385487528344669,D#2,79.8913043478261,77.78174593052023,46.328238035299925
TRIMMED_6,43,3.813877551020408,3.8312925170068026,0.01741496598639447,E2,81.64814975222369,82.4068892282175,-16.013710874693377
TRIMMED_6,44,3.8370975056689343,3.866122448979592,0.029024943310657747,D#4,307.747838821247,311.1269837220809,-18.905758106669218
TRIMMED_6,45,3.871927437641723,3.93578231292517,0.06385487528344669,C#4,274.98697534284935,277.1826309768721,-13.76828345856273
TRIMMED_6,46,3.947392290249433,3.959002267573696,0.011609977324262832,A#2,116.34515874205005,116.54094037952248,-2.9108127801589765
TRIMMED_6,47,3.976417233560091,4.208616780045351,0.2321995464852602,B4,492.8383187715572,493.8833012561241,-3.6669104995621096
TRIMMED_6,48,4.214421768707483,4.243446712018141,0.029024943310657747,B3,248.98683134019922,246.94165062806206,14.27910146857375
TRIMMED_6,49,4.260861678004535,4.272471655328798,0.011609977324262388,F#3,189.42697751240735,184.9972113558172,40.965942185401865
TRIMMED_6,50,4.27827664399093,4.35374149659864,0.07546485260770996,B2,123.05553651594684,123.47082531403103,-5.832745692437767
TRIMMED_6,51,4.359546485260771,4.388571428571429,0.029024943310657747,A#2,115.81192228492515,116.54094037952248,-10.863693046546365
TRIMMED_6,52,4.39437641723356,4.405986394557823,0.011609977324263276,A2,108.85202387744748,110.0,-18.162350465592525
TRIMMED_6,53,4.423401360544218,4.440816326530612,0.01741496598639447,G2,98.38275771879883,97.99885899543733,6.7686517608696
TRIMMED_6,54,4.481451247165533,4.493061224489796,0.011609977324262388,A2,108.24689156709131,110.0,-27.81351220331279
TRIMMED_6,55,4.498866213151928,4.516281179138322,0.01741496598639447,G2,96.33249614334255,97.99885899543733,-29.690883541730543
TRIMMED_6,56,4.522086167800453,4.533696145124717,0.011609977324263276,F#2,93.68954685249274,92.4986056779086,22.147768304717204
TRIMMED_6,57,4.562721088435374,4.794920634920635,0.2321995464852602,C5,512.8227074556638,523.2511306011972,-34.85205453796094
