take,note_index,start_time,end_time,duration,note_name,measured_hz,target_hz,cents_error
ariana,0,0.176,0.976,0.8,F4,344.95429857371363,349.2282314330039,-21.317942364756743
ariana,1,1.12,1.504,0.3839999999999999,F4,344.95429857371363,349.2282314330039,-21.317942364756743
ariana,2,2.448,2.576,0.1280000000000001,G#4,412.59849870066535,415.3046975799451,-11.317942364756629
ariana,3,2.592,2.64,0.04800000000000004,A4,447.35784183434987,440.0,28.710938607165897
ariana,4,2.656,2.8,0.14399999999999968,A#4,460.489472166315,466.1637615180899,-21.20242040420669
ariana,5,2.896,2.928,0.03200000000000003,G4,400.852620359721,391.99543598174927,38.68205763524366
ariana,6,2.944,3.184,0.2400000000000002,F#4,380.5462768008707,369.9944227116344,48.682057635243034
ariana,7,3.2,3.264,0.06399999999999961,G4,382.7507589559692,391.99543598174927,-41.317942364756696
ariana,8,3.28,3.36,0.08000000000000007,F#4,374.01495891863175,369.9944227116344,18.710938607166124
ariana,9,3.376,3.6,0.2240000000000002,F4,342.9675080116138,349.2282314330039,-31.317942364756775
ariana,10,3.616,3.664,0.04800000000000004,E4,339.0281901949745,329.6275569128699,48.68205763524341
ariana,11,3.68,3.952,0.2719999999999998,F4,342.9675080116138,349.2282314330039,-31.317942364756775
ariana,12,3.968,4.016,0.04800000000000004,F#4,377.2649107697211,369.9944227116344,33.68927790833648
ariana,13,4.064,4.128,0.06400000000000006,F#4,374.0087195395986,369.9944227116344,18.68205763524332
ariana,14,4.144,4.32,0.17600000000000016,F4,344.95429857371363,349.2282314330039,-21.317942364756743
ariana,15,4.336,4.416,0.08000000000000007,F#4,363.3614173026807,369.9944227116344,-31.31794236475697
ariana,16,4.432,4.64,0.2079999999999993,F4,353.01722309239886,349.2282314330039,18.68205763524332
ariana,17,4.656,4.752,0.09600000000000009,F#4,365.46634857944696,369.9944227116344,-21.317942364756355
ariana,18,4.768,4.8,0.03200000000000003,F4,359.1878554589993,349.2282314330039,48.682057635243034
ariana,19,5.216,5.344,0.1280000000000001,D#4,309.09962525595057,311.1269837220809,-11.31794236475682
ariana,20,5.456,5.6,0.14399999999999924,C4,265.23011428751994,261.6255653005986,23.689277908336877
ariana,21,5.616,5.696,0.08000000000000007,B3,253.98416831491193,246.94165062806206,48.68205763524341
ariana,22,5.776,5.872,0.09600000000000009,D#4,303.7894787041662,311.1269837220809,-41.3179423647565
ariana,23,5.888,5.936,0.04800000000000004,D4,302.0397800581419,293.6647679174076,48.682057635243034
ariana,24,5.952,6.144,0.19200000000000017,D#4,303.7894787041662,311.1269837220809,-41.3179423647565
ariana,25,6.16,6.208,0.04800000000000004,E4,330.3417671250529,329.6275569128699,3.747039370388076
ariana,26,6.224,6.32,0.09600000000000009,F4,344.95429857371363,349.2282314330039,-21.317942364756743
ariana,27,6.336,6.384,0.04800000000000004,F#4,378.36080340581276,369.9944227116344,38.710938607165915
ariana,28,6.4,6.464,0.06400000000000006,G4,382.7507589559692,391.99543598174927,-41.317942364756696
ariana,29,6.608,6.896,0.28800000000000026,G4,384.96801154627735,391.99543598174927,-31.317942364756384
ariana,30,6.912,6.976,0.06400000000000006,F#4,380.5462768008707,369.9944227116344,48.682057635243034
ariana,31,6.992,7.424,0.4320000000000004,G4,388.3196164623813,391.99543598174927,-16.310722091663564
ariana,32,7.44,7.664,0.2239999999999993,F#4,378.3544915286874,369.9944227116344,38.68205763524329
ariana,33,7.68,8.176,0.49600000000000044,G4,384.96801154627735,391.99543598174927,-31.317942364756384
ariana,34,8.224,8.352,0.1280000000000001,G4,384.96801154627735,391.99543598174927,-31.317942364756384
ariana,35,8.368,8.416,0.04800000000000004,F#4,380.5462768008707,369.9944227116344,48.682057635243034
ariana,36,8.432,10.0,1.5679999999999996,G4,387.19810855017363,391.99543598174927,-21.31794236475655
